"logFC","logCPM","LR","PValue","FDR"
"K18233",-0.355937080004381,4.98402401594191,5.20423805369875,0.0225318884153335,0.799469870053815
"K14028",-0.475527675580691,0.501794035233409,5.16703843468726,0.0230194278902372,0.803689541569154
"K12452",0.248399071763263,7.08279266600109,5.15955503177899,0.0231188196527646,0.803689541569154
"K15924",-0.591431619502445,1.8266362204495,5.15757970337631,0.0231451293697439,0.803689541569154
"K03474",0.158424566875516,8.11005771001092,5.11717761918005,0.0236901168719875,0.803689541569154
"K03632",-0.541147117696576,1.3932826219162,5.11716647677424,0.0236902689947616,0.803689541569154
"K07065",-0.450099277199538,2.92682944076157,5.1045249767009,0.0238635126474463,0.803689541569154
"K11525",1.93521729592811,6.59829796154392,5.0811092803829,0.0241878900972721,0.803689541569154
"K14735",-0.745898061576962,-0.285556102565546,5.07620318553379,0.0242564319079618,0.803689541569154
"K13628",0.126207228283939,7.53055436883663,5.06181726010696,0.0244585783574139,0.803689541569154
"K08178",-0.568409761075534,3.37439428602399,5.0581973170145,0.0245097194150827,0.803689541569154
"K19204",-0.496402360236127,2.56577239584918,5.05428470607305,0.0245651199766502,0.803689541569154
"K01761",0.175091748577252,8.00581984416436,5.02882246443045,0.0249288419167295,0.803689541569154
"K16438",-0.637882346955371,0.146179133102728,5.01836411947312,0.0250798524078463,0.803689541569154
"K12573",0.152197760270747,9.52757650120914,5.01078036815243,0.0251899498098324,0.803689541569154
"K15783",-0.40276494047945,1.41549519600984,5.00885855379325,0.0252179294428407,0.803689541569154
"K19640",-0.335105818693004,4.91108853184506,5.00730121717449,0.025240626326136,0.803689541569154
"K16032",-0.642121053936934,-0.121090653441903,5.00642415781013,0.0252534180713935,0.803689541569154
"K10956",-0.616525074316272,1.81632813395653,4.99749881863369,0.0253839759347814,0.803689541569154
"K12196",-0.45805191849636,0.143595578287824,4.99679620193191,0.0253942833710705,0.803689541569154
"K02280",0.184094179101871,8.32728851178159,4.99551376402135,0.0254131080338072,0.803689541569154
"K18979",0.107618114448335,8.5715073226644,4.97503848979296,0.0257156315320984,0.806033011016698
"K00254",0.141230331245519,8.65461679390163,4.96064114680762,0.0259305913788764,0.806033011016698
