"logFC","logCPM","LR","PValue","FDR"
"K01682",-1.05830455172704,6.27130531807927,29.5635237578287,5.41137657137103e-08,2.88888075860624e-06
"K17315",0.448384929148347,6.67088772443078,29.5422207569321,5.47118033679421e-08,2.89425439816414e-06
"K06597",-1.99295084985553,-0.733516345940801,29.5209308173234,5.5316090265825e-08,2.89985882213366e-06
"K11777",-1.53343277873803,4.04458060341949,29.468923823448,5.68205105138362e-08,2.95212991678583e-06
"K03839",-1.23143518887568,2.16642068865874,29.4288927795345,5.8006363800888e-08,2.98707107041918e-06
"K08902",-1.66202488047031,3.09940573655217,29.2408661268425,6.39168141893238e-08,3.26256089269891e-06
"K05583",-1.6076358706624,1.31913334234099,29.1952007961634,6.54410983687154e-08,3.311319577457e-06
"K06151",0.567604182821946,6.02433146482582,29.068736581295,6.98552144331341e-08,3.50420252402075e-06
"K02289",-1.68685128031474,3.46916489003492,29.0270808223511,7.13735328853307e-08,3.54386639475855e-06
"K05802",1.45597895245854,3.5572451602026,29.0076137561538,7.20943857900685e-08,3.54386639475855e-06
"K02641",-1.49796960996289,4.71351080821593,28.9974683426358,7.24729508465832e-08,3.54386639475855e-06
"K05378",-1.56745291775372,1.78805868789826,28.9800316472208,7.31282413859485e-08,3.54611030520695e-06
"K05386",-1.65562900227937,2.0743823371806,28.9568390872869,7.40090529937156e-08,3.55916263942505e-06
"K09942",-1.1494685613387,5.1938059954624,28.9166331896869,7.55612630254866e-08,3.58868177167626e-06
"K17736",1.42182999716309,2.16444923564633,28.9054846504094,7.59974171265354e-08,3.58868177167626e-06
"K02294",-1.08822018976666,4.55425825172566,28.8934004383134,7.64730262395353e-08,3.58868177167626e-06
"K08697",-1.71087975277422,2.68122993860193,28.8430776600638,7.84859084409472e-08,3.65367600974297e-06
"K02094",-1.65220763988946,2.56559457286936,28.7938748523227,8.05053141936996e-08,3.71793986740586e-06
"K15577",-0.641447901727344,6.18638240146439,28.7717756546242,8.14291847847247e-08,3.72247102451654e-06
"K00486",-0.373469332366305,6.19818248886005,28.7610157382703,8.18828477638971e-08,3.72247102451654e-06
"K05370",-1.61136542126805,2.49771571247343,28.673084118275,8.56864457585257e-08,3.81082809202889e-06
"K08234",-0.539963526629546,5.70558638117614,28.6718953805367,8.57390609771875e-08,3.81082809202889e-06
"K06726",0.605496460456147,3.34552730508171,28.6707201113385,8.57911118844792e-08,3.81082809202889e-06
"K03762",0.532596241125856,6.2200670523564,28.6052217050287,8.87425531274666e-08,3.8841934273556e-06
"K17892",-1.61298901953126,3.14463920599959,28.6044538621507,8.87777497573972e-08,3.8841934273556e-06
"K03750",0.109893198782275,9.60160780359339,28.5358597288393,9.19790975563072e-08,3.99422663194143e-06
"K00514",-1.30378278892743,4.86523750459841,28.5010304249513,9.36486350141351e-08,4.03660301590557e-06
"K07769",-1.55627465253219,5.22927904509859,28.4530572997935,9.59980530623058e-08,4.10744610859969e-06
"K08715",-0.522319641550702,5.97002755490002,28.407638999918,9.82767586290935e-08,4.17425152162551e-06
"K19170",-0.635477751198739,6.0668478188915,28.3268642022356,1.02464102265725e-07,4.32056964553808e-06
"K17245",-1.00748039342318,4.50304629749966,28.2142053295928,1.08604570988732e-07,4.51807905602679e-06
